DF,DL,MUNICIPIO,LOCALIDAD,SECCION,TIPO,CASILLA,UBICACION
1,2,2,1) MEXICALI,397,C1,397 C1,"DOMICILIO PARTICULAR , AVENIDA DE LOS NARDOS, NÚMERO 461, COLONIA ALAMITOS, CÓDIGO POSTAL 21210, MEXICALI, BAJA CALIFORNIA, ENTRE AVENIDA DE LAS ROSAS Y CALLE JUAN DE DIOS PEZA"
1,2,2,1) MEXICALI,398,B,398 B,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C1,398 C1,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C2,398 C2,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C3,398 C3,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C4,398 C4,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C5,398 C5,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C6,398 C6,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C7,398 C7,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C8,398 C8,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C9,398 C9,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C10,398 C10,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
1,2,2,1) MEXICALI,398,C11,398 C11,"UNIVERSIDAD XOCHICALCO CAMPUS MEXICALI, CALLE NOVENA, NÚMERO 1199, COLONIA PLUTARCO ELÍAS CALLES, CÓDIGO POSTAL 21376, MEXICALI, BAJA CALIFORNIA, ENTRE CALLE PRINCIPAL DE FRACCIONAMIENTO SEGOVIA Y CALLE ABADEZ"
