MUNICIPIO,DF,DL,SECCION,TIPO,GOB_2019,PM_2019,DL_2019,GOB_2021,PM_2021,DL_2021,PM_2024,DL_2024,ESTRAT_CEN,CLASIFICACION,PRIORIDAD,PERFIL,CLASE,LN_FEB_26,MORENA_PM_2024,DIF_PM24,META
TIJUANA,6,11,1359,URBANO(A),133,60,104,75,257,146,219,211,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1569,327,108,328
TIJUANA,6,11,1360,URBANO(A),83,32,66,79,172,116,160,184,NO,SWITCH,1,ADULTOS MAYORES,ALTA,914,130,-30,131
TIJUANA,6,11,1361,URBANO(A),127,39,86,72,201,108,177,189,NO,SWITCH,1,ADULTOS MAYORES,ALTA,1118,211,34,212
TIJUANA,6,11,1362,URBANO(A),97,56,71,79,197,134,181,177,NO,SWITCH,1,JEFAS DE HOGAR,ALTA,1270,253,72,254
PLAYAS DE ROSARITO,9,15,1363,URBANO(A),177,173,188,42,27,67,0,129,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,3195,369,369,370
PLAYAS DE ROSARITO,9,15,1364,URBANO(A),70,64,81,32,24,52,0,93,NO,SWITCH,1,ADULTOS,MEDIA BAJA,1231,115,115,116
PLAYAS DE ROSARITO,9,15,1365,URBANO(A),277,256,301,67,45,125,0,229,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,3974,526,526,527
PLAYAS DE ROSARITO,9,15,1366,URBANO(A),107,77,103,49,36,67,0,118,NO,SWITCH,1,ADULTOS MAYORES,MEDIA ALTA,1296,171,171,172
PLAYAS DE ROSARITO,9,15,1367,URBANO(A),438,532,502,75,63,106,0,114,NO,SWITCH,1,MIXTO,MEDIA BAJA,6268,915,915,916
PLAYAS DE ROSARITO,9,15,1370,URBANO(A),521,517,590,94,65,133,0,133,NO,SWITCH,1,JOVENES,MEDIA,4794,869,869,870
TIJUANA,4,8,1371,URBANO(A),24,23,32,14,41,20,36,21,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,1142,270,234,271
TIJUANA,4,8,1372,URBANO(A),26,23,30,12,24,13,17,7,NO,SWITCH,1,POBLACION INDIGENA,MEDIA,858,230,213,231
TIJUANA,4,7,1373,URBANO(A),43,28,35,18,47,31,42,18,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,1648,450,408,451
TIJUANA,4,7,1374,URBANO(A),32,24,37,12,39,20,34,20,NO,SWITCH,1,MIXTO,MEDIA,1222,341,307,342
TIJUANA,4,7,1375,URBANO(A),30,17,22,19,35,25,25,18,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,946,265,240,266
TIJUANA,4,8,1376,URBANO(A),39,36,33,26,53,30,25,16,NO,SWITCH,1,MIXTO,MEDIA,1104,253,228,254
TIJUANA,4,8,1377,URBANO(A),35,26,31,17,38,27,32,33,NO,OPOSITOR,3,JOVENES,MEDIA,1218,310,278,311
TIJUANA,4,8,1378,URBANO(A),16,14,15,9,26,16,18,21,NO,SWITCH,1,MIXTO,MEDIA,681,186,168,187
TIJUANA,4,8,1379,URBANO(A),27,17,26,11,41,22,41,32,NO,SWITCH,1,JOVENES,MEDIA ALTA,872,263,222,264
TIJUANA,4,8,1380,URBANO(A),44,27,31,21,49,27,43,30,NO,SWITCH,1,JOVENES,MEDIA,1149,288,245,289
TIJUANA,4,8,1381,URBANO(A),56,40,51,14,34,24,21,16,NO,SWITCH,1,JOVENES,MEDIA,1002,236,215,237
TIJUANA,4,7,1382,URBANO(A),22,13,21,12,29,22,29,13,NO,OPOSITOR,3,JOVENES,MEDIA,1354,390,361,391
TIJUANA,4,7,1383,URBANO(A),30,13,22,13,47,24,23,12,NO,OPOSITOR,3,POBLACION INDIGENA,MEDIA,1046,284,261,285
TIJUANA,4,7,1384,URBANO(A),40,21,30,24,59,40,53,29,NO,SWITCH,1,JOVENES,ALTA,1480,400,347,401
TIJUANA,4,7,1385,URBANO(A),34,19,28,10,50,21,41,18,NO,SWITCH,1,MIXTO,ALTA,994,308,267,309
TIJUANA,4,7,1386,URBANO(A),35,30,31,11,47,19,48,31,NO,SWITCH,1,MIXTO,ALTA,1066,312,264,313
TIJUANA,4,7,1387,URBANO(A),32,21,31,15,52,20,37,31,NO,SWITCH,1,JOVENES,ALTA,1155,376,339,377
TIJUANA,4,7,1388,URBANO(A),40,34,40,25,75,37,41,25,NO,SWITCH,1,POBLACION INDIGENA,MEDIA BAJA,3997,838,797,839
